,AAPL US Equity,,,,,MSFT US Equity,,,,,GOOGL US Equity,,,,,AMZN US Equity,,,,,TSLA US Equity,,,,,CSCO US Equity,,,,,ADBE US Equity,,,,,INTU US Equity,,,,,VRSN US Equity,,,,,PYPL US Equity,,,,,MDLZ US Equity,,,,,AMGN US Equity,,,,,GILD US Equity,,,,,MRNA UW Equity,,,,,REGN US Equity,,,,,JPM US Equity,,,,,GS US Equity,,,,,V US Equity,,,,,AXP US Equity,,,,,IBM US Equity,,,,,HSBA LN Equity,,,,,BARC LN Equity,,,,,LLOY LN Equity,,,,,STAN LN Equity,,,,,SDR LN Equity,,,,,HL/ LN Equity,,,,,LSEG LN Equity,,,,,BATS LN Equity,,,,,ULVR LN Equity,,,,,TSCO US Equity,,,,,SBRY LN Equity,,,,,MKS LN Equity,,,,,BA US Equity,,,,,DTE GR Equity,,,,,TTE FP Equity,,,,,ABI BB Equity,,,,,NOKIA FP Equity,,,,,BNP FP Equity,,,,,SAN FP Equity,,,,,ALV GR Equity,,,,,EXPN LN Equity,,,,,ITRK LN Equity,,,,,EZJ LN Equity,,,,,AUTO LN Equity,,,,,SGRO LN Equity,,,,,UTG LN Equity,,,,,LAND LN Equity,,,,,BND US Equity,,,,,UKAB3YAC Index,UKX Index,,,,,SPX Index,,,,
Dates,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Last Price,Open Price,High Price,Low Price,Volume,Last Price,Open Price,High Price,Low Price,Volume
04/01/2021,129.41,133.52,133.612,126.76,143301887,217.69,222.53,223,214.81,37130139,86.307,88,88.125,85.357,37323900,159.332,163.5,163.6,157.201,88228980,243.2567,239.82,248.1633,239.0632,145914567,43.96,44.31,44.37,43.35,24392541,485.34,500.3,500.79,476.28,3612949,371.7,379.74,384.62,366.17,1839788,213.58,216.92,217.81,210.52,702292,231.92,237.8,237.9969,227.5348,8148695,57.92,58.49,60,57.33,9187214,226.66,231.25,231.25,223.67,3088179,60.11,58.67,60.16,57.9291,15519995,111.73,107.15,113.6,103.36,4107264,482.86,486.85,491.776,473.58,911137,125.87,127.5,127.8579,124.78,16819915,265,267,267.58,260.16,3572043,217.76,220.25,220.25,214.24,10318329,118.04,121.3,121.8,116.85,3472122,118.383,120.2074,120.2718,117.5234,5179161,380.35,382.5,386.55,377.15,14705763,143.52,147.02,149.06,142.42,44907614,34.835,37,37.18,34.605,296741069,463.4,468.7,473.3,460.2,3850341,580.55,575.28,585.48,570.18,935394,1499,1542.5,1555.5,1489.5,953599,9262,9130,9358,9124,841275,2753.5,2761.5,2795.5,2743.5,2637437,4461,4447,4519,4427,2902257,139.71,140.9,141.65,138.14,1398356,226,226,231.2,225.9,8027354,131.4,138.05,138.1,130.35,7531970,202.72,210,210.2,202.491,21225594,15.145,15.09,15.295,15.035,10052752,34.585,34.9,35.73,34.305,6860489,57.21,58.15,58.85,56.78,1513937,3.1625,3.1805,3.242,3.1535,814342,43.01,43.86,43.915,42.64,3025708,78.5718,79.1785,79.5763,78.4326,1708408,198.64,201.45,202.7,196.4,1209031,2909,2830,2932,2818,2079044,5870,5718,5944,5700,267945,643.895,708.217,715.121,642.38,6111364,605.2,606.8,614.6,599.8,1608794,977,963.8,984.4,954.4,2297779,1008,1054,1061,1001,484160,664.8,689.1,693.6,662.4,2275335,88.07,88.04,88.1,87.98,7568555,3250,6571.88,6460.52,6662.66,6460.52,931311191,3700.65,3764.61,3769.99,3662.71,761648794
05/01/2021,131.01,128.89,131.74,128.43,97664898,217.9,217.26,218.52,215.7,23822953,87.003,86.255,87.342,85.845,20359240,160.926,158.301,161.169,158.253,53110960,245.0367,241.22,246.9467,239.7333,96735495,43.98,43.68,44.07,43.38,17763655,485.69,485.88,486.08,479.195,2010099,368.87,370.44,374,367.31,1117837,206.5,211.81,212.97,206,755127,234.91,230.47,235.64,229.8,5047831,57.98,57.8899,58.12,57.32,5422069,227.76,226.94,228.895,224.35,2494194,60,60.23,60.45,59.621,13251119,109.18,113.69,114.97,107.22,2998227,483.45,480.39,486.25,475.41,797684,125.65,124.99,126.2995,123.77,13731206,270.93,263.88,273.5,262.57,4207081,214.51,216.31,218.46,213.64,6869718,118.67,118.26,119.28,117.1,2112678,120.4844,119.4051,121.0002,119.023,6114619,378.6,380.65,384.45,376.3,16658547,143.2,140.66,144.54,139.38,36207348,35.21,34.64,35.595,34.22,208187948,466.1,463.6,473.7,459.2,3918522,580.21,574.09,585.65,574.09,919094,1501,1485.5,1519,1485.5,692807,9036,9152,9278,9018,350901,2788.5,2753,2796,2752,2273261,4436,4440,4471,4414,2850333,140.69,139.22,140.8,138.21,856777,225.6,224,227.1,223.3,5099006,133.6,130.55,135.65,129.5,10729171,211.63,204.74,213.35,204.6,19338304,15.05,15.145,15.15,14.955,10345824,35.495,34.6,35.495,34.335,7310673,57.18,56.9,57.98,56.75,1382722,3.2025,3.166,3.257,3.165,811920,42.92,42.72,43.475,42.315,2852830,78.5619,78.7409,79.1785,78.0845,1541681,197.46,198.88,199.84,195.12,1076186,2850,2885,2920,2841,1796846,5802,5810,5878,5776,134060,634.634,631.435,646.421,619.143,4711473,600.6,602,603.6,597,1630528,976.6,965.8,980.4,961.2,2342003,1016,999,1028,995.5,456777,666.8,647.2,675.9,643.7,1670756,87.92,88.0201,88.04,87.82,6452656,3250,6612.25,6571.88,6622.77,6544.25,694598272,3726.86,3698.02,3737.83,3695.07,603798418
06/01/2021,126.6,127.72,131.05,126.382,155087970,212.25,212.17,216.4899,211.94,35930653,86.144,85.013,87.198,84.805,46588020,156.919,157.324,159.875,156.558,87896300,251.9933,252.83,258,249.7,134099895,44.4,44.13,44.87,43.89,21823112,466.31,474.098,475.867,466,4156589,361,359.17,364.01,357.69,1537625,199.51,203.69,204.79,199.16,945198,226.83,228.94,232.49,225.7021,9211701,57.87,57.99,58.325,57.66,7663203,233.25,225,233.53,225,3755069,61.95,59.7,62.0765,59.695,12222473,116.26,110.96,116.89,110.35,4365751,470.09,477.15,483,467,1434720,131.55,129.88,132.77,127.88,24909056,285.55,276.29,288.38,273.1,6383530,212.62,213.8,216.17,212.07,7206248,123.06,121,124.73,120.81,5861455,123.4932,121.2103,125.967,121.0384,7956740,416.15,389,418.5,389,48903582,155.04,146,156.04,145.42,86655936,37.16,36.47,37.56,35.675,357759329,509.8,476,513.4,476,11938085,599.42,582.59,600.78,578.34,2188401,1542,1505,1543.5,1478.5,1988097,9134,9002,9168,8874,462924,2813,2780,2839.5,2726,3781088,4467,4436,4505,4395,4930372,145.87,139.35,145.95,138.735,1102877,232.5,225.5,235.2,224.9,7249333,139.5,135.7,141.1,133.5,11193637,211.03,210.22,215.61,209.34,16202157,15.075,15.05,15.175,14.95,8896656,37.055,36.35,37.345,35.755,13184367,58.77,57.96,58.94,57.39,1370204,3.2985,3.21,3.2985,3.21,574558,45.29,43.97,46.01,43.78,5959237,78.0845,78.5818,79.1686,77.617,2715058,205.3,197.64,207.85,196.5,2034369,2879,2779,2905,2775,2219179,5874,5752,5922,5692,280770,673.025,651.641,679.761,631.435,4437845,609.8,595.8,611.4,592.6,2607546,976.8,979.8,988.2,971,2476190,1004,1020,1023,1002,578590,693.1,673,697.4,667.3,1904186,87.53,87.605,87.61,87.3436,5933655,3250,6841.86,6612.25,6859.14,6611.87,1187303778,3748.14,3712.2,3783.04,3705.34,827613906
07/01/2021,130.92,128.36,131.63,127.86,109578157,218.29,214.04,219.34,213.71,27694480,88.717,86.338,88.891,86.338,41936580,158.108,157.85,160.427,157.75,70290900,272.0133,259.21,272.33,258.4,154496844,44.96,44.2,45.105,44.1659,18218757,477.74,471,479.64,468.25,2901232,368.63,363.24,370.228,360.33,1108980,200,200.4,200.76,197.24,960113,235.04,229.46,235.6,229.22,7107892,57.76,57.72,58.35,57.35,8589248,234.02,231.86,235.37,231.465,2648082,62.52,61.9,63.24,61.52,10614674,115.09,120,122.81,112.14,4113854,481.2,471.24,481.84,467.18,1126605,135.87,135.69,138.19,134.92,21940387,291.65,287.77,295.889,286.68,4009730,213.81,212.2,215.22,212.2,10967869,121.66,124.1,125.6873,117.3501,8696634,123.2066,124.2095,124.6107,122.5093,4507382,417.05,414.75,418.2,407.15,30407422,156.12,157.08,158,151.3,59902768,36.89,37.5,37.945,36.34,194532083,512.2,517.8,519.4,503,6222254,605.37,605.54,607.41,596.19,908947,1570,1567,1583.5,1553,905763,9018,9132,9208,8972,380520,2800,2838,2842.5,2785.5,3392692,4447,4478,4504,4410,4394353,147.12,145.675,147.545,145.08,919172,248.5,244.9,250.3,239.8,20259938,141.35,142.75,142.75,139.15,6608465,212.71,213.39,216.6,211.78,14474098,15.375,15.15,15.41,15.115,12118732,37.46,37.455,37.73,36.84,9961531,58.4,58.68,58.86,57.88,1469911,3.23,3.289,3.3,3.23,572936,46.31,45.975,46.605,45.24,4336483,77.2988,77.6866,78.1342,77.2988,3029886,205.55,207.1,208.35,204.8,1085543,2823,2878,2880,2791,1348790,5810,5936,5936,5762,196470,672.352,683.128,683.128,641.874,4810104,583.4,608.6,608.6,581.8,3990198,962.2,977.2,980.6,958.2,2214263,1014,1003,1018,991.5,470858,687.9,699.1,699.1,681.2,1316289,87.35,87.36,87.42,87.325,6196080,3250,6856.96,6841.86,6903.61,6795.11,863293367,3803.79,3764.71,3811.55,3764.71,706082190
08/01/2021,132.05,132.43,132.63,130.23,105158245,219.62,218.68,220.58,217.0261,22956206,89.892,88.858,89.968,88.061,35484520,159.135,159,159.532,157.11,70754880,293.34,285.3333,294.83,279.4633,225166584,45.06,44.48,45.41,44.25,20936283,485.1,480,485.54,477.21,2266132,374.46,369.79,375.03,368.595,1259108,202.44,200.93,202.875,200.47,834633,242.46,237.43,242.91,236.0687,6767739,58.19,57.37,58.27,57.33,6642748,238.49,235.53,238.86,235.1,2511396,63.04,62.61,63.41,62.505,8389752,112.75,116.5,117.7,111.5,2483658,498.73,487.935,500.7,487.935,1018815,136.02,135.97,136.35,134.12,12035126,290.08,292,292.28,285.06,2800784,215.45,214.17,216.12,212.75,6513279,121.78,122.07,122.195,119.52,2934467,122.7672,122.8054,123.5218,121.2867,4676487,411.75,413.95,416.55,408.5,21754013,152.92,157.34,158.1,152.58,33593236,36.825,37.125,37.41,36.245,183737052,508.4,515,519,505.6,5078820,604.35,618.97,618.97,600.61,1224453,1655,1596,1668,1584,1181734,9206,9182,9294,9070,286877,2800,2801.5,2826.5,2784,2789067,4450,4438,4464,4378,6912331,149.31,147.16,149.46,145.75,1069901,242.8,250,250.7,239.7,10155055,137.9,138.4,145,136.55,10475862,209.9,213.61,214.1,208.155,14144017,15.2,15.43,15.465,15.11,11667186,37.485,37.78,37.895,37.17,6404257,57.86,58.16,58.4,57.43,1428681,3.17,3.245,3.25,3.168,793926,45.285,46.475,46.66,45.17,3864732,78.363,77.7065,78.363,77.3684,2428467,205.85,206.45,207.15,204.65,966320,2878,2860,2895,2853,1000999,5836,5910,5910,5776,243713,662.249,678.413,695.589,649.788,5635351,595,587,596.6,583.4,2345280,963.2,968.4,972.4,959.4,1852927,1009,1020,1020,999.5,427795,683.1,695.6,699.8,675.2,1258959,87.27,87.39,87.39,87.17,7688783,3250,6873.26,6856.96,6886.34,6836.08,788759117,3824.68,3815.05,3826.69,3783.6,649780644
11/01/2021,128.98,129.19,130.17,128.5,100620880,217.49,218.47,218.91,216.73,23047029,87.815,88.851,89.219,87.607,34812360,155.711,157.401,157.819,155.5,73381900,270.3967,283.1333,284.81,267.8741,178662438,45.36,45.15,45.95,45.02,25062260,474.24,481.99,482.59,471.3,2383254,372.34,376.13,376.76,366.38,1514875,199.15,202.01,202.25,198.94,424224,237.5,238.04,240.84,234.09,5073071,57.09,58.16,58.22,57.06,6762015,237.57,240,240.35,234.43,2600537,62.51,63.75,64.18,62.27,11320798,117.26,112.83,120.21,112.62,2843370,502.92,501,505.14,489.35,1116428,138.05,134.58,138.2,134.11,15949048,293.83,286.8,295,284.2,2650134,212.89,213.96,214.86,212.48,7354527,121.06,120.42,121.41,119.39,3311225,122.815,122.2132,123.8609,121.9362,5602466,408.2,411,414.2,404.6,14788431,151.2,152.4,154.42,150.06,97049758,36.165,36.07,36.825,36.065,145980808,506.8,504.4,512.4,503,3944523,598.23,608.09,608.09,598.06,1844495,1628,1730,1730,1623.5,724175,9204,9242,9358,9182,247681,2779.5,2798,2804,2742,2791005,4416,4450,4464,4413,2094873,149.5,148.84,151.58,147.02,1307647,236.5,239.7,242,235.9,7635694,134.3,138.55,139.8,133.65,5795908,206.79,203.03,207.78,201.01,16789281,15.18,15.16,15.27,15.105,7574667,36.915,37.2,37.225,36.49,6020005,56.61,57.73,57.81,56.39,1518079,3.15,3.1685,3.169,3.1165,519681,44.98,44.97,45.535,44.615,3649675,78.8105,78.174,79.4471,78.0745,2075804,203.6,203.9,205.65,201.95,786134,2833,2868,2885,2833,908652,5722,5844,5878,5722,277172,649.452,673.53,680.602,647.599,3251679,591.2,590.8,600.8,590.8,2474631,955,971.6,971.6,954.2,1496516,991.5,1005,1015,986.5,1205532,658.1,682.5,687.2,656.5,1639682,87.18,87.25,87.25,87.1,5404507,3250,6798.48,6873.26,6873.26,6768.72,704580080,3799.61,3803.14,3817.86,3789.02,613612883
12/01/2021,128.8,128.5,129.69,126.86,91951145,214.93,216.5,217.1,213.3202,23249336,86.872,87.268,88.395,85.819,29534300,156.041,156,157.107,154.3,70291640,283.1467,277,289.3333,275.78,138812160,45.79,45.3,45.925,44.96,20145042,471.65,474.41,475,464,2964880,365.67,371.83,372.63,362.35,1242518,198.58,198.5,199.5,195.91,530181,237.64,237.62,238.8,233.83,4145557,57.32,57.35,57.53,56.76,7450957,236.59,237.12,238.78,235.35,1771566,62.08,62.66,62.79,61.465,9115119,124.55,117.5,124.91,117.13,3495456,505.75,504.41,518.5,502,1264140,140.22,139.44,141.6599,138.8301,18033462,302.21,297.14,303.98,296.02,4814362,208.86,212.34,212.79,207.47,9331611,121.62,122,122.315,120.7201,2671310,123.4167,123.3021,124.028,122.2037,3749213,412.8,410.05,414.7,410.05,14226500,154.24,150.94,154.84,150.94,27575842,36.745,36.475,37.08,36.325,155929138,511.4,511.6,515.2,504,7315149,591.77,602.48,602.82,591.6,1220959,1626.5,1629.5,1646,1613,1209009,8976,9200,9212,8966,333389,2729,2776,2776,2705,2742008,4321,4380,4411,4296,2619295,151.75,149.18,152.1,148.97,1127263,235.2,237.4,240.3,235.2,7583990,134.45,133.75,137.1,133.65,3698073,208.41,206.65,209.06,204.81,12836218,15.11,15.245,15.25,15.07,9216493,37.05,37.29,37.555,36.955,5779492,56.51,56.7,56.9,55.9,1649991,3.257,3.195,3.272,3.1875,531165,45.34,45.355,45.645,44.93,3346621,78.7608,78.8006,79.2481,78.6017,1537729,202.7,204.1,204.9,201.2,734226,2729,2833,2848,2729,1472397,5578,5712,5720,5578,289205,666.458,653.156,674.709,650.799,2383623,583,591.4,593,581.8,2628659,939,954.2,959.8,939,1340980,1001,984,1008,978,655402,647.6,661.2,661.3,645.8,1930886,87.16,87.09,87.16,86.94,6078880,3250,6754.11,6798.48,6816.65,6738.21,613082498,3801.19,3801.62,3810.78,3776.51,658562767
13/01/2021,130.89,128.76,131.45,128.49,88636831,216.34,214.02,216.76,213.9266,20087080,87.363,86.366,87.82,86.366,23431800,158.295,156.422,159.498,156.104,66424880,284.8033,284.2533,286.8233,277.3333,99937488,45.36,45.29,45.965,45.18,19367270,472.05,472,477.85,469.3,2105915,364.96,364.97,367.33,360.5,1019574,199.4,199.33,201.08,197.825,564841,244.9,236.57,247.44,236.54,7354936,57.37,57.09,57.73,57.015,7276578,237.74,235.99,238.5,235.22,1412300,61.54,61.82,62.15,61.44,6822616,124.06,123.7,127.58,120.8,3384775,511.9,517,522,509.14,1333763,140.35,138.59,140.79,138.1,14816761,302.94,300.08,303.72,299.1,2413821,209.35,209.41,211,208.63,6688464,122.4,121.6,123.89,121.16,3678359,121.2294,123.3594,123.9325,120.7853,7677739,403.15,404.3,406.45,401.55,14846329,152.36,155,155,151.82,37484067,36.245,37.05,37.05,36.155,112687440,499,505,510.8,498.4,5721465,590.58,593.47,595.85,586.33,1556071,1610.5,1637,1643,1599.5,634155,9142,8976,9328,8948,503170,2754.5,2727.5,2761,2714.5,1905656,4352,4312,4355,4284,3101561,153.18,152.49,154.13,150.75,1630238,240.3,236.7,244.1,236.7,8790824,133.05,136.5,136.5,132.2,6021513,207.21,207.15,208.79,204.85,8570469,15.185,15.13,15.26,15.08,8273108,37.435,37.355,37.91,37.185,8019342,56.48,56.5,56.88,56.2,1090806,3.206,3.2555,3.2555,3.188,683896,45.025,45.225,45.42,44.86,2471939,78.6017,78.5718,79.0791,78.3828,2185996,201.95,203,203.25,200.05,843929,2734,2731,2748,2728,1434522,5652,5652,5718,5614,272927,642.211,669.152,669.152,640.022,2895944,587,584.6,589.2,580.2,1725712,950.8,939.4,954,939.4,1315782,1002,990,1012,990,444147,652.5,645.9,656.7,645.9,908609,87.39,87.27,87.505,87.2238,7357080,3250,6745.52,6754.11,6772.57,6736.01,613826158,3809.84,3802.23,3820.96,3791.5,604769130
14/01/2021,128.91,130.8,131,128.76,90221755,213.02,215.91,217.46,212.74,29346737,86.546,87.444,88.378,86.304,29212340,156.373,158.376,158.9,156.03,61418380,281.6667,281.13,287.6667,279.5833,93798981,45.15,44.87,45.6,44.85,22333477,463.27,472.41,473.55,462.2,3508273,365.51,365.288,369.63,364.97,1146186,195.7,199.5,200.03,194.69,493874,242.06,246.87,249.85,241.54,6976718,57.31,57.42,57.705,56.99,7325201,241.66,236.5,243.49,235.675,2594082,62.4,61.64,63.13,61.46,8694806,129.72,122.83,130.98,122.83,2891562,517.91,513.1,524.88,511.33,848583,141.17,140.49,142.75,140,18565597,307.87,304.05,309.41,303.54,3192169,201.86,210.57,211.21,201.73,12887478,123.78,122.65,124.5,122.085,3404723,123.1875,122.2801,124.3241,121.8312,7503180,408.2,404.55,410.2,404.15,14734678,152.86,152.94,154.8,152.36,28961779,36.455,36.705,36.915,36.225,110385365,498.2,501,507.6,494.3,4892516,592.28,597.72,597.72,590.24,825247,1590,1609.5,1617.5,1575.5,766722,9324,9224,9354,8990,678336,2780.5,2760,2800,2745.5,2169103,4354,4350,4374,4336,4135434,156.44,153.56,157.08,153.395,1534092,242.4,238.9,243.3,234.5,7679576,138.1,133.75,138.35,132.7,6149975,209.91,208.79,214.19,208.21,12446820,15.17,15.235,15.28,15.065,9995217,37.8,37.295,37.885,37.23,5812995,56.96,56.88,57.88,56.61,1523045,3.39,3.284,3.47,3.2665,2163323,45.13,45.2,45.705,44.71,3170300,80.5311,78.6116,80.8295,78.542,2414115,202.3,201.65,204.25,200.95,896764,2711,2743,2748,2685,2637244,5600,5732,5732,5588,235289,694.241,654.503,695.757,648.441,4581324,577.8,589.2,589.2,577.2,1315738,966.2,955.2,974.4,955,1821105,992.5,1000,1018,989,496532,665.4,655.3,674.2,653.3,1292800,87.28,87.4,87.5,87.21,7192030,3250,6801.96,6745.52,6801.96,6736.78,683631462,3795.54,3814.98,3823.6,3792.86,678176083
