Dates,Last Price,Volume,Ticker
2021-01-01,132.69,99116586.0,AAPL US EQUITY
2021-01-01,57.01,389502.0,ABI BB EQUITY
2021-01-01,500.12,1462236.0,ADBE US EQUITY
2021-01-01,200.7,545156.0,ALV GR EQUITY
2021-01-01,162.847,59144120.0,AMZN US EQUITY
2021-01-01,596.0,781660.0,AUTO LN EQUITY
2021-01-01,214.06,10487567.0,BA US EQUITY
2021-01-01,2708.0,1391542.0,BATS LN EQUITY
2021-01-01,88.19,6134914.0,BND US EQUITY
2021-01-01,58.55,2864678.0,BNDX US EQUITY
2021-01-01,43.105,827264.0,BNP FP EQUITY
2021-01-01,44.75,15105475.0,CSCO US EQUITY
2021-01-01,14.955,3800644.0,DTE GY EQUITY
2021-01-01,2777.0,526596.0,EXPN LN EQUITY
2021-01-01,698.788,1167508.0,EZJ LN EQUITY
2021-01-01,-0.7,4316974.0,GDBR2 INDEX
2021-01-01,58.26,10870506.0,GILD US EQUITY
2021-01-01,87.632,21069580.0,GOOGL
2021-01-01,1525.0,260171.0,HL-LN EQUITY
2021-01-01,27231.13,2054705327.0,HSI INDEX
2021-01-01,120.236,3574696.0,IBM US EQUITY
2021-01-01,379.85,982530.0,INTU US EQUITY
2021-01-01,5648.0,139517.0,ITRK LN EQUITY
2021-01-01,127.07,8580214.0,JPM US EQUITY
2021-01-01,673.8,649004.0,LAND LN EQUITY
2021-01-01,9008.0,163716.0,LSEG LN EQUITY
2021-01-01,58.47,5321582.0,MDLZ US EQUITY
2021-01-01,136.3,1295744.0,MKS LN EQUITY
2021-01-01,104.47,23369872.0,MRNA US EQUITY
2021-01-01,222.42,20942132.0,MSFT US EQUITY
2021-01-01,27444.17,505872400.0,NKY INDEX 
2021-01-01,3.141,166929.0,NOKIA FP EQUITY
2021-01-01,234.2,5002663.0,PYPL US EQUITY
2021-01-01,483.11,897894.0,REGN US EQUITY
2021-01-01,78.2734,638384.0,SAN FP EQUITY
2021-01-01,225.5,2544534.0,SBRY LN EQUITY
2021-01-01,567.29,720830.0,SDR LN EQUITY
2021-01-01,947.6,808256.0,SGRO LN EQUITY
2021-01-01,3756.07,499581043.0,SPX INDEX
2021-01-01,465.9,1994368.0,STAN LN EQUITY
2021-01-01,3552.64,36533814.0,SX5E INDEX
2021-01-01,235.2233,148949784.0,TLSA US EQUITY
2021-01-01,293.107,5543707.0,TSCO LN EQUITY
2021-01-01,35.3,2123866.0,TTE FP EQUITY
2021-01-01,2.72,4316974.0,UKAB10BC INDEX
2021-01-01,3250.0,4316974.0,UKAB3YAC INDEX
2021-01-01,6460.52,312783249.0,UKX INDEX
2021-01-01,4392.0,2012459.0,ULVR LN EQUITY
2021-01-01,1045.0,138236.0,UTG LN EQUITY
2021-01-01,120.94,17482206.0,VOD LN EQUITY
2021-01-01,216.4,311142.0,VRSN US EQUITY
2021-01-01,194.64,3746410.0,VTI US EQUITY
2021-01-04,129.41,143301887.0,AAPL US EQUITY
2021-01-04,57.21,1513937.0,ABI BB EQUITY
2021-01-04,485.34,3612949.0,ADBE US EQUITY
2021-01-04,198.64,1209031.0,ALV GR EQUITY
2021-01-04,159.332,88228980.0,AMZN US EQUITY
2021-01-04,605.2,1608794.0,AUTO LN EQUITY
2021-01-04,118.04,3472122.0,AXP US EQUITY
2021-01-04,202.72,21225594.0,BA US EQUITY
2021-01-04,2753.5,2637437.0,BATS LN EQUITY
2021-01-04,88.07,7568555.0,BND US EQUITY
2021-01-04,58.56,4056249.0,BNDX US EQUITY
2021-01-04,43.01,3025708.0,BNP FP EQUITY
2021-01-04,43.96,24392541.0,CSCO US EQUITY
2021-01-04,15.16,9725963.0,DTE GY EQUITY
2021-01-04,2909.0,2079044.0,EXPN LN EQUITY
2021-01-04,643.895,6111364.0,EZJ LN EQUITY
